rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
264,Cyclic adenosine monophosphate,6076,4007,body-endogenous,other,,,,
265,Lutein,5281243,4002,plant-compound,carotenoid,,,,
266,Cyclizine,6726,3970,otc-medicine,otc,yes,,,
267,Isoamyl acetate,31276,3940,food-flavor,ester,,,,
268,Nepetalactone,161367,3938,plant-compound,terpenoid,,,,
269,Myristicin,4276,3921,plant-compound,phenolic,,,,
270,Resiniferatoxin,5702546,3903,plant-compound,terpenoid,,,,
271,Diacetyl,650,3894,food-flavor,ketone,,,,
272,Miconazole,4189,3863,otc-medicine,otc,yes,,,
273,Ergocalciferol,5280793,3835,nutrient-vitamin,vitamin,,,,
274,Urolithin A,5488186,3823,body-endogenous,phenolic,,,,
275,Homocysteine,778,3808,body-endogenous,amino-acid,,,,
276,Amaranth (dye),13506,3777,food-flavor,other,,,,
277,Disodium phosphate,24203,3740,food-flavor,other,,,,
278,Serine,5951,3732,body-endogenous,amino-acid,,,,
279,Ammonium carbonate,517111,3654,food-flavor,other,,,,
280,Thymol,6989,3652,plant-compound,phenolic,,,,
281,Trimethylamine,1146,3629,scent-aroma,amine,,,,
282,Phytic acid,890,3573,plant-compound,other,,,,
283,Epigallocatechin gallate,65064,3560,plant-compound,flavonoid,,,,
284,Sunset yellow FCF,17730,3526,food-flavor,other,,,,
285,Retinal,1070,3496,nutrient-vitamin,vitamin,,,,
286,Triiodothyronine,5920,3486,body-endogenous,amino-acid,,yes,,
287,Phenylacetic acid,999,3480,scent-aroma,organic-acid,,,,
288,Fumaric acid,444972,3436,food-flavor,organic-acid,,,,
289,Isoleucine,6306,3413,body-endogenous,amino-acid,,,,
290,Thymine,1135,3385,body-endogenous,nucleobase,,,,
291,Sodium bisulfite,656672,3334,food-flavor,other,,,,
292,Coenzyme A,87642,3301,body-endogenous,other,,,,
293,Pyridoxal phosphate,1051,3299,nutrient-vitamin,vitamin,,,,
294,Threonine,6288,3298,body-endogenous,amino-acid,,,,
295,Chlorogenic acid,1794427,3275,plant-compound,phenolic,,,,
296,Cyclamate,23665706,3268,sweetener,sweetener,,,,
297,Androstenedione,6128,3266,body-endogenous,steroid-hormone,,,,
298,Trimethylglycine,247,3262,body-endogenous,amino-acid,,,,
299,Cannabinol,2543,3260,plant-compound,phenolic,,yes,,
300,Acetophenone,7410,3247,scent-aroma,ketone,,,,
301,Methyl cellulose,51063134,3230,food-flavor,other,,yes,,
302,Cytosine,597,3228,body-endogenous,nucleobase,,,,
303,Skatole,6736,3217,scent-aroma,other,,,,
304,Β-Alanine,239,3194,body-endogenous,amino-acid,,,,
305,Ammonium bicarbonate,14013,3175,food-flavor,other,,,,
306,Trehalose,7427,3166,sweetener,sugar,,,,
307,Geraniol,637566,3161,scent-aroma,terpenoid,,,,
308,Allopregnanolone,92786,3133,body-endogenous,steroid-hormone,,yes,,
309,Paraxanthine,4687,3121,body-endogenous,alkaloid,,,,
310,Hydroxocobalamin,163191904,3120,nutrient-vitamin,vitamin,,yes,,
311,Pregnenolone,8955,3112,body-endogenous,steroid-hormone,,,,
312,Xanthine,1188,3082,body-endogenous,nucleobase,,,,
313,Tetrahydrocannabivarin,34180,3071,plant-compound,phenolic,,yes,,
314,Ambroxide,10857465,3048,scent-aroma,terpenoid,,,,
315,Annonacin,354398,3047,plant-compound,fatty-acid,,,,
316,Cadaverine,273,3037,scent-aroma,amine,,,,
317,Caprylic acid,379,3027,food-flavor,fatty-acid,,,,
318,Asparagine,236,3015,body-endogenous,amino-acid,,,,
319,Flavin adenine dinucleotide,643975,2986,body-endogenous,other,,,,
320,Calcitonin,16132288,2981,body-endogenous,peptide,,yes,,
321,Erythrosine,3259,2973,food-flavor,other,,,,
322,Benzyl benzoate,2345,2972,scent-aroma,ester,,yes,,
323,Agmatine,199,2967,body-endogenous,amine,,,,
324,Substance P,36511,2958,body-endogenous,peptide,,,,
325,Caryophyllene,5281515,2954,scent-aroma,terpene,,,,
